wall_time,state,phase,phase_elapsed,sim_boot_time_ms,race_start_boot_time_ms,active_gate_index,armed,cmd_roll_rate,cmd_pitch_rate,cmd_yaw_rate,cmd_thrust,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gate_detected,gate_cx,gate_cy,gate_area_px,gate_range_m,collision_id,collision_threat,collision_impulse
1784241595.4786077,RESETTING,thrust_low,,,,,False,0.0,0.0,0.0,0.25,-2.9990830421447754,-0.002543302485719323,-9.34032154083252,0.0,0.0,-0.0,False,,,,,,,
1784241595.4996376,WAITING_FOR_ARM,thrust_low,,67184,38302,0,False,0.0,0.0,0.0,0.25,-2.9990830421447754,-0.002543302485719323,-9.34032154083252,0.0,0.0,-0.0,True,325.41764132553607,176.43481968810914,1368.0,12.800000000000002,,,
1784241595.5190904,WAITING_FOR_ARM,thrust_low,,67184,38302,0,False,0.0,0.0,0.0,0.25,-2.9990830421447754,-0.002543302485719323,-9.34032154083252,0.0,0.0,-0.0,True,325.3356583455702,176.34642682329905,1362.0,12.800000000000002,,,
1784241595.5386653,WAITING_FOR_ARM,thrust_low,,67184,38302,0,False,0.0,0.0,0.0,0.25,-2.9990830421447754,-0.002543302485719323,-9.34032154083252,0.0,0.0,-0.0,True,325.3356583455702,176.34642682329905,1362.0,12.800000000000002,,,
1784241595.5588124,WAITING_FOR_ARM,thrust_low,,67184,38302,0,False,0.0,0.0,0.0,0.25,-2.9990830421447754,-0.002543302485719323,-9.34032154083252,0.0,0.0,-0.0,True,325.24414758269717,175.87353689567428,1310.0,12.800000000000002,,,
1784241595.578962,RUNNING,thrust_low,0.0,67184,38302,0,True,0.0,0.0,0.0,0.25,-2.9990830421447754,-0.002543302485719323,-9.34032154083252,0.0,0.0,-0.0,True,325.24414758269717,175.87353689567428,1310.0,12.800000000000002,,,
1784241595.601579,RUNNING,thrust_low,0.022768399969208986,67184,38302,0,True,0.0,0.0,0.0,0.25,-2.9990830421447754,-0.002543302485719323,-9.34032154083252,0.0,0.0,-0.0,True,325.1797515199577,175.6111551678562,1261.0,12.972972972972975,,,
1784241595.6193511,RUNNING,thrust_low,0.0405577999772504,67184,38302,0,True,0.0,0.0,0.0,0.25,-3.022400379180908,0.04851926863193512,-9.312699317932129,-0.004789252765476704,-0.017462383955717087,0.0006146962405182421,True,324.49627976190476,175.26175595238095,1120.0,13.521126760563384,,,
1784241595.6390653,RUNNING,thrust_low,0.060254500014707446,67184,38302,0,True,0.0,0.0,0.0,0.25,-2.9036498069763184,-0.0582997091114521,-9.421621322631836,0.001638174057006836,-0.010341941379010677,0.00033099809661507607,True,324.49627976190476,175.26175595238095,1120.0,13.521126760563384,,,
1784241595.658784,RUNNING,thrust_low,0.07998009998118505,67184,38302,0,True,0.0,0.0,0.0,0.25,-1.57631254196167,7.518217898905277e-06,-9.24062442779541,0.0005242722108960152,-0.002066607354208827,-0.00039254906005226076,True,322.5316755476613,174.66222616933095,563.0,13.714285714285717,,,
1784241595.679146,RUNNING,thrust_low,0.10031710000475869,67184,38302,0,True,0.0,0.0,0.0,0.25,-1.1036555767059326,0.002391291782259941,-9.34543228149414,-0.00019110691209789366,-0.000897509278729558,-0.00023758134921081364,True,325.1177934467026,176.45403013963775,1205.5,13.521126760563384,,,
1784241595.6987648,RUNNING,thrust_low,0.11995199997909367,67184,38302,0,True,0.0,0.0,0.0,0.25,-0.8577626943588257,-0.0005333641893230379,-9.330153465270996,-0.0018684477545320988,-0.004708491265773773,0.000625324435532093,True,325.1177934467026,176.45403013963775,1205.5,13.521126760563384,,,
1784241595.7189655,RUNNING,thrust_low,0.14016589999664575,67184,38302,0,True,0.0,0.0,0.0,0.25,-0.5075377225875854,0.0007305827457457781,-9.318236351013184,-0.0008002180838957429,-0.001890811719931662,0.00021529353398364037,True,325.18266504657754,176.4036722019711,1234.5,13.150684931506852,,,
1784241595.7390912,RUNNING,thrust_low,0.16026949998922646,67184,38302,0,True,0.0,0.0,0.0,0.25,-0.4172062873840332,-0.000961627927608788,-9.33538818359375,-0.00027049207710660994,-0.0010452484712004662,7.00103264534846e-05,True,325.18266504657754,176.4036722019711,1234.5,13.150684931506852,,,
1784241595.7590368,RUNNING,thrust_low,0.18019129999447614,67435,38302,0,True,0.0,0.0,0.0,0.25,-0.37335848808288574,-0.0029034102335572243,-9.33432388305664,-0.0004122806712985039,-0.0019275170052424073,0.00023379446065519005,True,325.167121153097,176.39929879236462,1283.5,13.150684931506852,,,
1784241595.7789624,RUNNING,thrust_low,0.2001354999956675,67435,38302,0,True,0.0,0.0,0.0,0.25,-0.3766155242919922,0.0037233103066682816,-9.399358749389648,-0.0005184172187000513,0.00016432379197794944,-8.567566692363471e-05,True,325.09867172675524,176.35648323845666,1317.5,12.972972972972975,,,
1784241595.7992282,RUNNING,thrust_low,0.22039530001347885,67435,38302,0,True,0.0,0.0,0.0,0.25,-0.3358347415924072,0.003981531132012606,-9.36616325378418,-0.0005819337093271315,-0.0001652144273975864,-6.24494714429602e-05,True,325.09867172675524,176.35648323845666,1317.5,12.972972972972975,,,
1784241595.8218493,RESETTING,thrust_low,0.2413663999759592,67435,38302,0,True,0.0,0.0,0.0,0.25,-0.31346750259399414,-0.002585056470707059,-9.367390632629395,0.0005550477071665227,-0.001210057525895536,-2.8267604648135602e-05,True,325.55680351148976,176.82765298218436,1291.0,12.800000000000002,1002,1,0.0006788079044781625
